,Data_accident,Hora_Avis,Via,Data_publicacio,Hora_publicacio,Text_Complet,URL
<p style=""text-align: left;""><strong>VIA: AP-7, al punt quilomètric 173 a Castellví de Rosanes (Baix Llobregat)</strong></p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquest migdia s’ha registrat un accident mortal de trànsit al punt quilomètric 173 de l’AP-7 a l’altura de Castellví de Rosanes (Baix Llobregat) en sentit sud. Els Mossos d’Esquadra han rebut l’avís de la incidència a les 14.40 h.</p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">Per causes que encara s’estan investigant, un camió ha sortit de la via i ha bolcat a la mitjana de l’autopista. Com a conseqüència del sinistre ha mort el conductor del vehicle pesant, un home de 48 anys d’edat i nacionalitat polonesa. En l’accident, també hi ha hagut implicats dos turismes, tot i que els seus ocupants han resultat il·lesos.</p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">Quant als efectius, hi han treballat sis patrulles dels Mossos d’Esquadra, quatre dotacions dels Bombers de la Generalitat i 2 ambulàncies i l’helicòpter medicalitzat del Sistema d’Emergències Mèdiques.</p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">Pel que fa a l’afectació viària, en aquests moments encara hi ha dos carrils de l’autopista restringits en sentit sud i un altre carril tallat de la calçada en direcció nord.</p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">13 de novembre</p>
<p style=""text-align: left;"">16.40 h</p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;""> </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141113_ACC_AP7
19," Dissabte, 8 de novembre de 2014",  23.11 ," C-31, al punt quilomètric 196 a L’Hospitalet de Llobregat (Barcelonès) en sentit Barcelona",09/11/2014,11:27,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dissabte, 8 de novembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS:  23.11 h </strong></p>
<p style=""text-align: left;""><strong>VIA: C-31, al punt quilomètric 196 a L’Hospitalet de Llobregat (Barcelonès) en sentit Barcelona</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que ahir a la nit es va registrar un accident mortal de trànsit al punt quilomètric  196 de la C-31 a l’altura de L’Hospitalet de Llobregat (Barcelonès) en sentit Barcelona.</p>
<p style=""text-align: left;"">Els Mossos d’Esquadra van rebre l’avís de la incidència a les 23.11 h. Per causes que encara s’estan investigant, una motocicleta va encalçar un turisme. A conseqüència d’això, dels dos ocupants del vehicle de dues rodes, un va morir i l’altre va resultar ferit molt greu i els efectius del Sistema d’Emergències Mèdiques (SEM) el van traslladar a l’hospital de Bellvitge. La persona finada és Rubén R.D., de 23 anys, nacionalitat espanyola i veí de L’Hospitalet.</p>
<p style=""text-align: left;"">En l’accident, també hi va haver un segon turisme implicat.</p>
<p style=""text-align: left;"">Quant als efectius,  hi van treballar 4 patrulles dels Mossos d’Esquadra, 3 dotacions dels Bombers de la Generalitat i 3 ambulàncies del Sistema d’Emergències Mèdiques.</p>
<p style=""text-align: left;"">Pel que fa a l’afectació viària, entre les 23.24 i les 01.36 h hi va haver 2 carrils tallats de la C-31 a l’Hospitalet en sentit nord i això va provocar mig quilòmetre de retenció. A partir de les 01.36 h hi va haver només un carril tallat en sentit nord. Finalment, la situació es va normalitzar a les 02.48 h.</p>
<p style=""text-align: left;"">9 de novembre</p>
<p style=""text-align: left;"">11.00 h</p>
<p style=""text-align: left;""> </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141108_acc_c_31
20," Divendres, 7 de novembre de 2014",  20.16 ," C-55, al punt quilomètric 35,5 a Manresa (Bages) en sentit Solsona",08/11/2014,11:31,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Divendres, 7 de novembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS:  20.16 h </strong></p>
<p style=""text-align: left;""><strong>VIA: C-55, al punt quilomètric 35,5 a Manresa (Bages) en sentit Solsona</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que ahir al vespre es va registrar un accident mortal de trànsit al punt quilomètric  35,5 de la C-55 a l’altura de Manresa (Bages) en sentit Solsona.</p>
<p style=""text-align: left;"">Els Mossos d’Esquadra van rebre l’avís de la incidència a les 20.16 h. Per causes que encara s’estan investigant, un turisme va atropellar un vianant. A conseqüència d’això, el vianant va morir. Es tracta de Jorge Rosendo L.C., de 51 anys, nacionalitat espanyola i veí de Manresa.</p>
<p style=""text-align: left;"">En l’accident,  hi van treballar 4 patrulles dels Mossos d’Esquadra, 2 dotacions dels Bombers de la Generalitat i 2 ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p style=""text-align: left;"">Pel que fa a l’afectació viària, entre les 20.25 i les 22.36 h es va estar donant pas alternatiu a la C-55 a Manresa. Això va provocar un quilòmetre de cua en tots dos sentits.</p>
<p style=""text-align: left;"">8 de novembre</p>
<p style=""text-align: left;"">11.00 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141107_acc_c_55
21," Dijous, 6 de novembre de 2014", 19.04 ," TV-3408, al punt quilomètric 8 a l’altura de Sant Carles de la Ràpita (Montsià)",06/11/2014,19:04,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dijous, 6 de novembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS: 19.04 h </strong></p>
<p style=""text-align: left;""><strong>VIA: TV-3408, al punt quilomètric 8 a l’altura de Sant Carles de la Ràpita (Montsià)</strong></p>
<p style=""text-align: left;""><strong> </strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que ahir al vespre es va registrar un accident mortal de trànsit al punt quilomètric  8 de la TV-3408 a l’altura de Sant Carles de la Ràpita (Montsià, Tarragona). Els Mossos d’Esquadra van rebre l’avís de la incidència a les 19.04 h.</p>
<p style=""text-align: left;"">Per causes que encara s’estan investigant, hi va haver una col·lisió per envestida entre un camió i un turisme. Com a conseqüència del sinistre, els dos ocupants del turisme van morir: Maria F.R., de 22 anys, veïna de Barcelona i Francisco R.G, de 28 anys, veí de Viladecans. A més, el conductor del camió va resultar ferit menys greu i va ser traslladat per efectius del Sistema d’Emergències Mèdiques (SEM) a l’hospital Verge de la Cinta.</p>
<p style=""text-align: left;"">En l’accident,  hi van treballar 4 patrulles dels Mossos d’Esquadra, 4 vehicles dels Bombers de la Generalitat i 2 ambulàncies del SEM.</p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">7 de novembre</p>
<p style=""text-align: left;"">12.45 h </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141106_acc_tv_3408
22," Dissabte, 1 de novembre de 2014", 15.12 ," B-151, al punt quilomètric 4 a l’altura de Castellbisbal (Vallès Occidental)",01/11/2014,18:06,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dissabte, 1 de novembre de 2014<br/></strong><strong>HORA D'AVÍS: 15.12 h <br/></strong><strong>VIA: B-151, al punt quilomètric 4 a l’altura de Castellbisbal (Vallès Occidental)</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquesta tarda s’ha registrat un accident mortal de trànsit al punt quilomètric 4 de la B-151 a l’altura de Castellbisbal (Vallès Occidental). Els Mossos d’Esquadra han rebut l’avís de la incidència a les 15.12 h.</p>
<p style=""text-align: left;"">Per causes que encara s’estan investigant, un motorista ha sortit de la via i ha resultat mort. Es tracta de Carles S.T., de 19 anys i veí de Castellbisbal.</p>
<p style=""text-align: left;"">En l’accident, hi han treballat sis patrulles dels Mossos d’Esquadra i dues ambulàncies i l’helicòpter medicalitzat del SEM.</p>
<p style=""text-align: left;"">1 de novembre de 2014<br/>18.00 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141101_acc_b_151
23," Dimecres, 30 d'octubre de 2014", 07.22 ," C-55, al punt quilomètric 30 a l'altura de Manresa (Bages)",30/10/2014,10:09,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dimecres, 30 d'octubre de 2014<br/></strong><strong>HORA D'AVÍS: 07.22 h</strong><strong><br/>VIA: C-55, al punt quilomètric 30 a l'altura de Manresa (Bages)</strong></p>
<p style=""text-align: left;""><br/>El Servei Català de Trànsit (SCT) informa que aquest matí s'ha registrat un accident mortal de trànsit al punt quilomètric 30 de la C-55 a l'altura de Manresa (Bages). Els Mossos d'Esquadra han rebut l'avís de la incidència a les 07.22 h.</p>
<p style=""text-align: left;"">Per causes que encara s'estan investigant, dos turismes han col·lidit frontalment i com a conseqüència del sinistre ha mort el conductor d'un dels vehicles, Pedro V.P. de 86 anys i veí de Santpedor. La conductora de l'altre turisme ha resultat ferida greu i ha estat traslladada a l'Hospital Althaia de Manresa</p>
<p style=""text-align: left;"">En l'accident, hi han treballat cinc patrulles dels Mossos d'Esquadra, tres dotacions dels Bombers de la Generalitat i dues del SEM. Quant a l'afectació viària, la calçada ha estat totalment restringida fins a les 07.40 h, després s'ha fet pas alternatiu i finalment s'ha habilitat a la circulació un carril per sentit. El carril tallat s'ha obert a les 09.10 si bé queden retencions en sentit Solsona.</p>
<p style=""text-align: left;"">30 d'octubre de 2014<br/>10.00 h</p>
<p style=""text-align: left;""> </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141030_acc_c_55
24," Diumenge, 26 d’octubre de 2014", 16.04 ," C-13, al punt quilomètric 36 a l’altura de Camarasa (La Noguera)",26/10/2014,19:32,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Diumenge, 26 d’octubre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS: 16.04 h </strong></p>
<p style=""text-align: left;""><strong>VIA: C-13, al punt quilomètric 36 a l’altura de Camarasa (La Noguera)</strong></p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquesta tarda s’ha registrat un accident mortal de trànsit al punt quilomètric 36 de la C-13 a l’altura de Camarasa (La Noguera, Lleida). Els Mossos d’Esquadra han rebut l’avís del sinistre a les 16.04 h.</p>
<p style=""text-align: left;"">Per causes que encara s’estan investigant, un turisme ha sortit de la via i com a conseqüència de l’accident, ha mort l’acompanyant mentre que el conductor, en estat molt greu, ha estat evacuat amb l’helicòpter medicalitzat del Sistema d’Emergències Mèdiques (SEM) a l’hospital Arnau de Vilanova. La persona finada és Carmen G.V, de 82 anys, nacionalitat espanyola i veïna de Sabadell.</p>
<p style=""text-align: left;"">En l’accident, hi han treballat 4 patrulles dels Mossos d’Esquadra, 4 dotacions dels Bombers de la Generalitat i 2 ambulàncies i l’helicòpter del SEM.</p>
<p style=""text-align: left;"">Quant a l’afectació viària, la circulació s’ha tallat en el tram de la col·lisió en els dos sentits de la marxa fins a les 17.02 h. A partir d’aquesta hora, s’ha donat pas alternatiu. Finalment, la situació s’ha normalitzat a les 18.07 h.</p>
<p style=""text-align: left;"">26 d’octubre de 2014</p>
<p style=""text-align: left;"">17.45 h</p>
<p style=""text-align: left;""> </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141026_acc_c_13
25," Dissabte, 18 d’octubre de 2014", 15.36 ," C-14, al punt quilomètric 118,7 a l’altura de Ponts (Noguera)",18/10/2014,18:59,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dissabte, 18 d’octubre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS: 15.36 h </strong></p>
<p style=""text-align: left;""><strong>VIA: C-14, al punt quilomètric 118,7 a l’altura de Ponts (Noguera)</strong></p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquesta tarda s’ha registrat un accident mortal de trànsit al punt quilomètric 118,7 de la C-14 a l’altura de Ponts (Noguera) en direcció la Seu d’Urgell. Els Mossos d’Esquadra han rebut l’avís del sinistre a les 15.36 h.</p>
<p style=""text-align: left;"">Per causes que encara s’estan investigant, hi ha hagut una col·lisió per envestida amb dos turismes implicats. Com a conseqüència de la topada, ha mort el conductor d’un dels vehicles, Luis C.G., de 87 anys i veí de Ponts. A més, l’accident també ha fet dos ferits lleus, que els efectius del Sistema d’Emergències Mèdiques (SEM) han traslladat a l’hospital Arnau de Vilanova.</p>
<p style=""text-align: left;"">En l’accident, hi han treballat cinc patrulles dels Mossos d’Esquadra,  quatre dotacions dels Bombers de la Generalitat i dues unitats del SEM. Quant a l’afectació viària, la circulació s’ha tallat en el tram de la col·lisió en els dos sentits de la marxa i cap a les 16.00 h s’ha circulat amb pas alternatiu. A les 17.15 h el trànsit s’ha normalitzat.</p>
<p style=""text-align: left;"">18 d’octubre de 2014</p>
<p style=""text-align: left;"">18.05 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141018_c_14
26," Dissabte, 11 d’octubre de 2014", 10.38 ," AP-7, al punt quilomètric 0,5, a l’altura de la Jonquera (Alt Empordà)",11/10/2014,12:59,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dissabte, 11 d’octubre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS: 10.38 h </strong></p>
<p style=""text-align: left;""><strong>VIA: AP-7, al punt quilomètric 0,5, a l’altura de la Jonquera (Alt Empordà)</strong></p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquest matí hi ha hagut un accident mortal de trànsit al punt quilomètric 0,5 de l’AP-7 a l’altura de la Jonquera (Alt Empordà) en sentit sud. Els Mossos d’Esquadra han rebut l’avís del sinistre a les 10.38 h. </p>
<p style=""text-align: left;"">Per causes que encara s’estan investigant, un camió i un turisme han col·lidit per encalç i com a conseqüència de la topada ha mort l’acompanyant del cotxe, una dona de nacionalitat francesa. A més, el conductor de l’automòbil ha resultat ferit de gravetat i ha estat traslladat per personal sanitari francès a un centre hospitalari de França. D’altra banda, el xofer del vehicle pesant ha sortit il·lès del sinistre. </p>
